Method	Type	N	reward (up)	latency (down)	energy (down)	energy_efficiency_global (up)	fairness_final (up)	fairness_step_mean (up)	offline_rate_final (down)	offline_rate_step_mean (down)	dsr_request_weighted (up)	offloading_ratio_local_processed (neutral)	offloading_ratio_cooperative_processed (neutral)	offloading_ratio_mbs_processed (neutral)	mbs_load_ratio_generated (down)	processed_request_ratio (up)	deadline_satisfied_per_processed (up)
ippo	learning	10	-981.7591 +/- 104.5792 [-1056.57, -906.9477]	600373.76 +/- 23530.33 [583541.18, 617206.34]	54761144.15 +/- 2340568.27 [53086802.48, 56435485.82]	0.0002 +/- 0.0000 [0.0002, 0.0002]	0.9027 +/- 0.0271 [0.8834, 0.9221]	0.8541 +/- 0.0310 [0.8319, 0.8762]	0.0986 +/- 0.0300 [0.0771, 0.1200]	0.0129 +/- 0.0049 [0.0093, 0.0164]	0.2780 +/- 0.0079 [0.2724, 0.2837]	0.3593 +/- 0.0170 [0.3471, 0.3714]	0.3454 +/- 0.0163 [0.3337, 0.3570]	0.2954 +/- 0.0194 [0.2815, 0.3093]	0.2954 +/- 0.0194 [0.2815, 0.3093]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.2780 +/- 0.0079 [0.2724, 0.2837]
vanilla_mappo	learning	10	-925.3765 +/- 100.3334 [-997.1507, -853.6023]	631211.55 +/- 27105.95 [611821.12, 650601.98]	55481883.77 +/- 2600858.49 [53621341.69, 57342425.85]	0.0002 +/- 0.0000 [0.0002, 0.0002]	0.9056 +/- 0.0231 [0.8891, 0.9221]	0.8585 +/- 0.0237 [0.8415, 0.8754]	0.0772 +/- 0.0264 [0.0583, 0.0961]	0.0098 +/- 0.0048 [0.0063, 0.0132]	0.2878 +/- 0.0102 [0.2804, 0.2951]	0.6547 +/- 0.0175 [0.6422, 0.6672]	0.2632 +/- 0.0148 [0.2527, 0.2738]	0.0821 +/- 0.0111 [0.0741, 0.0900]	0.0821 +/- 0.0111 [0.0741, 0.0900]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.2878 +/- 0.0102 [0.2804, 0.2951]
joint_mappo	learning	10	-9081.23 +/- 190.5405 [-9217.54, -8944.93]	1143569.90 +/- 53367.55 [1105393.06, 1181746.75]	96182401.65 +/- 5729342.29 [92083877.08, 100280926.23]	0.0001 +/- 0.0000 [0.0001, 0.0002]	0.7885 +/- 0.0167 [0.7765, 0.8004]	0.7557 +/- 0.0170 [0.7435, 0.7679]	0.0379 +/- 0.0297 [0.0167, 0.0592]	0.0091 +/- 0.0084 [0.0031, 0.0150]	0.4163 +/- 0.0262 [0.3976, 0.4350]	0.2023 +/- 0.0086 [0.1962, 0.2085]	0.5205 +/- 0.0187 [0.5071, 0.5338]	0.2772 +/- 0.0119 [0.2687, 0.2857]	0.2772 +/- 0.0119 [0.2687, 0.2857]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.4163 +/- 0.0262 [0.3976, 0.4350]
proposed	learning	10	-1096.85 +/- 114.3307 [-1178.64, -1015.06]	764148.39 +/- 49063.74 [729050.31, 799246.48]	49980270.24 +/- 3165839.14 [47715565.35, 52244975.13]	0.0002 +/- 0.0000 [0.0002, 0.0003]	0.9452 +/- 0.0095 [0.9383, 0.9520]	0.9009 +/- 0.0120 [0.8924, 0.9095]	0.0225 +/- 0.0098 [0.0155, 0.0295]	0.0023 +/- 0.0012 [0.0014, 0.0032]	0.3762 +/- 0.0193 [0.3623, 0.3900]	0.5560 +/- 0.0236 [0.5391, 0.5729]	0.4081 +/- 0.0257 [0.3898, 0.4265]	0.0359 +/- 0.0044 [0.0327, 0.0390]	0.0359 +/- 0.0044 [0.0327, 0.0390]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.3762 +/- 0.0193 [0.3623, 0.3900]
random	non_learning	10	-1426.55 +/- 171.4077 [-1549.17, -1303.93]	990382.05 +/- 44829.87 [958312.70, 1022451.41]	75014164.27 +/- 7535839.48 [69623349.46, 80404979.08]	0.0002 +/- 0.0000 [0.0001, 0.0002]	0.8906 +/- 0.0230 [0.8741, 0.9070]	0.8319 +/- 0.0430 [0.8011, 0.8626]	0.0245 +/- 0.0377 [-0.0025, 0.0515]	0.0038 +/- 0.0084 [-0.0022, 0.0098]	0.3802 +/- 0.0234 [0.3635, 0.3970]	0.3224 +/- 0.0068 [0.3175, 0.3272]	0.3548 +/- 0.0134 [0.3453, 0.3644]	0.3228 +/- 0.0066 [0.3181, 0.3275]	0.3228 +/- 0.0066 [0.3181, 0.3275]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.3802 +/- 0.0234 [0.3635, 0.3970]
uniform	non_learning	10	-5320.14 +/- 98.2332 [-5390.41, -5249.86]	846818.68 +/- 74552.73 [793486.87, 900150.50]	71357237.57 +/- 9561327.55 [64517475.88, 78196999.26]	0.0002 +/- 0.0000 [0.0002, 0.0002]	0.8603 +/- 0.0265 [0.8413, 0.8793]	0.8245 +/- 0.0238 [0.8074, 0.8415]	0.0230 +/- 0.0176 [0.0104, 0.0356]	0.0028 +/- 0.0024 [0.0011, 0.0045]	0.4529 +/- 0.0214 [0.4376, 0.4682]	0.2015 +/- 0.0057 [0.1974, 0.2055]	0.6148 +/- 0.0108 [0.6070, 0.6225]	0.1837 +/- 0.0052 [0.1801, 0.1874]	0.1837 +/- 0.0052 [0.1801, 0.1874]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.4529 +/- 0.0214 [0.4376, 0.4682]
