Method	Type	N	reward (up)	latency (down)	energy (down)	energy_efficiency_global (up)	fairness_final (up)	fairness_step_mean (up)	offline_rate_final (down)	offline_rate_step_mean (down)	dsr_request_weighted (up)	offloading_ratio_local_processed (neutral)	offloading_ratio_cooperative_processed (neutral)	offloading_ratio_mbs_processed (neutral)	mbs_load_ratio_generated (down)	processed_request_ratio (up)	deadline_satisfied_per_processed (up)
ippo	learning	30	-981.7591 +/- 235.9713 [-1069.87, -893.6460]	600373.76 +/- 36525.26 [586735.00, 614012.51]	54761144.15 +/- 11692143.03 [50395226.19, 59127062.11]	0.0002 +/- 0.0000 [0.0002, 0.0002]	0.9027 +/- 0.0313 [0.8911, 0.9144]	0.8541 +/- 0.0361 [0.8406, 0.8675]	0.0986 +/- 0.0360 [0.0851, 0.1120]	0.0129 +/- 0.0060 [0.0106, 0.0151]	0.2780 +/- 0.0394 [0.2633, 0.2928]	0.3593 +/- 0.1404 [0.3069, 0.4117]	0.3454 +/- 0.1519 [0.2886, 0.4021]	0.2954 +/- 0.0633 [0.2717, 0.3190]	0.2954 +/- 0.0633 [0.2717, 0.3190]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.2780 +/- 0.0394 [0.2633, 0.2928]
vanilla_mappo	learning	30	-925.3765 +/- 193.8360 [-997.7561, -852.9969]	631211.55 +/- 42674.54 [615276.61, 647146.49]	55481883.77 +/- 13548872.99 [50422651.45, 60541116.09]	0.0002 +/- 0.0000 [0.0002, 0.0002]	0.9056 +/- 0.0273 [0.8954, 0.9158]	0.8585 +/- 0.0282 [0.8479, 0.8690]	0.0772 +/- 0.0324 [0.0651, 0.0893]	0.0098 +/- 0.0052 [0.0078, 0.0117]	0.2878 +/- 0.0433 [0.2716, 0.3039]	0.6547 +/- 0.1141 [0.6121, 0.6973]	0.2632 +/- 0.1246 [0.2167, 0.3097]	0.0821 +/- 0.0294 [0.0711, 0.0930]	0.0821 +/- 0.0294 [0.0711, 0.0930]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.2878 +/- 0.0433 [0.2716, 0.3039]
joint_mappo	learning	30	-9081.23 +/- 1107.93 [-9494.94, -8667.53]	1143569.90 +/- 83869.67 [1112252.45, 1174887.35]	96182401.65 +/- 12568922.57 [91489088.84, 100875714.47]	0.0001 +/- 0.0000 [0.0001, 0.0002]	0.7885 +/- 0.0547 [0.7680, 0.8089]	0.7557 +/- 0.0446 [0.7390, 0.7724]	0.0379 +/- 0.0545 [0.0176, 0.0583]	0.0091 +/- 0.0165 [0.0029, 0.0152]	0.4163 +/- 0.0400 [0.4013, 0.4312]	0.2023 +/- 0.0416 [0.1868, 0.2179]	0.5205 +/- 0.0547 [0.5000, 0.5409]	0.2772 +/- 0.0317 [0.2654, 0.2890]	0.2772 +/- 0.0317 [0.2654, 0.2890]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.4163 +/- 0.0400 [0.4013, 0.4312]
proposed	learning	30	-1096.85 +/- 292.8011 [-1206.18, -987.5152]	764148.39 +/- 53136.22 [744307.00, 783989.79]	49980270.24 +/- 4711969.16 [48220792.04, 51739748.44]	0.0002 +/- 0.0000 [0.0002, 0.0003]	0.9452 +/- 0.0139 [0.9400, 0.9503]	0.9009 +/- 0.0154 [0.8952, 0.9067]	0.0225 +/- 0.0152 [0.0168, 0.0282]	0.0023 +/- 0.0019 [0.0016, 0.0030]	0.3762 +/- 0.0283 [0.3656, 0.3868]	0.5560 +/- 0.1472 [0.5010, 0.6110]	0.4081 +/- 0.1086 [0.3676, 0.4487]	0.0359 +/- 0.0419 [0.0202, 0.0515]	0.0359 +/- 0.0419 [0.0202, 0.0515]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.3762 +/- 0.0283 [0.3656, 0.3868]
random	non_learning	10	-1426.55 +/- 171.4077 [-1549.17, -1303.93]	990382.05 +/- 44829.87 [958312.70, 1022451.41]	75014164.27 +/- 7535839.48 [69623349.46, 80404979.08]	0.0002 +/- 0.0000 [0.0001, 0.0002]	0.8906 +/- 0.0230 [0.8741, 0.9070]	0.8319 +/- 0.0430 [0.8011, 0.8626]	0.0245 +/- 0.0377 [-0.0025, 0.0515]	0.0038 +/- 0.0084 [-0.0022, 0.0098]	0.3802 +/- 0.0234 [0.3635, 0.3970]	0.3224 +/- 0.0068 [0.3175, 0.3272]	0.3548 +/- 0.0134 [0.3453, 0.3644]	0.3228 +/- 0.0066 [0.3181, 0.3275]	0.3228 +/- 0.0066 [0.3181, 0.3275]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.3802 +/- 0.0234 [0.3635, 0.3970]
uniform	non_learning	10	-5320.14 +/- 98.2332 [-5390.41, -5249.86]	846818.68 +/- 74552.73 [793486.87, 900150.50]	71357237.57 +/- 9561327.55 [64517475.88, 78196999.26]	0.0002 +/- 0.0000 [0.0002, 0.0002]	0.8603 +/- 0.0265 [0.8413, 0.8793]	0.8245 +/- 0.0238 [0.8074, 0.8415]	0.0230 +/- 0.0176 [0.0104, 0.0356]	0.0028 +/- 0.0024 [0.0011, 0.0045]	0.4529 +/- 0.0214 [0.4376, 0.4682]	0.2015 +/- 0.0057 [0.1974, 0.2055]	0.6148 +/- 0.0108 [0.6070, 0.6225]	0.1837 +/- 0.0052 [0.1801, 0.1874]	0.1837 +/- 0.0052 [0.1801, 0.1874]	1.0000 +/- 0.0000 [1.0000, 1.0000]	0.4529 +/- 0.0214 [0.4376, 0.4682]
