Variant	N	reward	latency	energy	energy_efficiency_global	fairness_final	fairness_step_mean	offline_rate_final	offline_rate_step_mean	dsr_request_weighted	offloading_ratio_local_processed	offloading_ratio_cooperative_processed	offloading_ratio_mbs_processed	mbs_load_ratio_generated	processed_request_ratio	deadline_satisfied_per_processed	forced_admission_ratio	natural_coverage_service_ratio
ablation_full	30	-8934.23 +/- 367.572	1.16101e+06 +/- 72745.9	7.27216e+07 +/- 1.10843e+07	0.00018167 +/- 3.52273e-05	0.757733 +/- 0.0593592	0.728532 +/- 0.0568141	0.0192222 +/- 0.0289759	0.00294417 +/- 0.0065259	0.397671 +/- 0.0544615	0.350206 +/- 0.0659055	0.602155 +/- 0.0483241	0.0476392 +/- 0.0320593	0.0476392 +/- 0.0320593	1 +/- 0	0.397671 +/- 0.0544615	0.800229 +/- 0.049479	0.199771 +/- 0.049479
ablation_no_attention	30	-8833.41 +/- 371.72	1.1643e+06 +/- 74131.7	6.46858e+07 +/- 1.79986e+07	0.000214195 +/- 4.83847e-05	0.745971 +/- 0.045452	0.720173 +/- 0.0421967	0.0190556 +/- 0.0295939	0.0027685 +/- 0.00571531	0.403047 +/- 0.0443563	0.461892 +/- 0.164117	0.486792 +/- 0.130196	0.0513159 +/- 0.0656543	0.0513159 +/- 0.0656543	1 +/- 0	0.403047 +/- 0.0443563	0.802236 +/- 0.0499446	0.197764 +/- 0.0499446
ablation_no_lagrange	30	-8847.03 +/- 264.86	1.16935e+06 +/- 72324.1	5.31587e+07 +/- 9.93286e+06	0.000217559 +/- 5.94056e-05	0.696206 +/- 0.0671282	0.674517 +/- 0.061771	0.0212778 +/- 0.0308646	0.0034455 +/- 0.00655233	0.340273 +/- 0.045297	0.378974 +/- 0.212584	0.256203 +/- 0.0505097	0.364823 +/- 0.183012	0.364823 +/- 0.183012	1 +/- 0	0.340273 +/- 0.045297	0.797758 +/- 0.0520289	0.202242 +/- 0.0520289
ablation_no_mask	30	-8816.44 +/- 351.064	1.1641e+06 +/- 76492.7	6.27227e+07 +/- 9.84831e+06	0.000206667 +/- 4.1292e-05	0.743359 +/- 0.0522868	0.714973 +/- 0.0465548	0.0233333 +/- 0.0309121	0.00371394 +/- 0.00635654	0.388431 +/- 0.0327772	0.326986 +/- 0.113162	0.672749 +/- 0.112956	0.000264904 +/- 0.000465737	0.000264904 +/- 0.000465737	1 +/- 0	0.388431 +/- 0.0327772	0.797889 +/- 0.0558592	0.202111 +/- 0.0558592
dsr_priority_full	30	-972.007 +/- 257.316	750239 +/- 51811	5.30559e+07 +/- 9.16437e+06	0.000217678 +/- 2.51724e-05	0.93215 +/- 0.0168756	0.889805 +/- 0.0166768	0.0328889 +/- 0.0168606	0.00339678 +/- 0.00275683	0.352416 +/- 0.0544374	0.425717 +/- 0.181735	0.343816 +/- 0.106486	0.230467 +/- 0.261272	0.230467 +/- 0.261272	1 +/- 0	0.352416 +/- 0.0544374	0.462115 +/- 0.0288539	0.537885 +/- 0.0288539
main_full_hierarchical	30	-1096.85 +/- 292.801	764148 +/- 53136.2	4.99803e+07 +/- 4.71197e+06	0.000247269 +/- 3.25311e-05	0.945154 +/- 0.013906	0.900913 +/- 0.0153943	0.0225 +/- 0.0151919	0.002283 +/- 0.00193593	0.376182 +/- 0.0283458	0.556008 +/- 0.14718	0.408124 +/- 0.108606	0.0358678 +/- 0.0419285	0.0358678 +/- 0.0419285	1 +/- 0	0.376182 +/- 0.0283458	0.477855 +/- 0.0307939	0.522145 +/- 0.0307939
main_lower_only_fixed_upper	30	-8934.23 +/- 367.572	1.16101e+06 +/- 72745.9	7.27216e+07 +/- 1.10843e+07	0.00018167 +/- 3.52273e-05	0.757733 +/- 0.0593592	0.728532 +/- 0.0568141	0.0192222 +/- 0.0289759	0.00294417 +/- 0.0065259	0.397671 +/- 0.0544615	0.350206 +/- 0.0659055	0.602155 +/- 0.0483241	0.0476392 +/- 0.0320593	0.0476392 +/- 0.0320593	1 +/- 0	0.397671 +/- 0.0544615	0.800229 +/- 0.049479	0.199771 +/- 0.049479
main_upper_only	30	-1344.37 +/- 278.359	772076 +/- 53601.8	7.46492e+07 +/- 7.76475e+06	0.000219261 +/- 3.65029e-05	0.944381 +/- 0.0189807	0.904955 +/- 0.0185492	0.0218889 +/- 0.0195139	0.00253411 +/- 0.00321392	0.495655 +/- 0.0319275	0.554528 +/- 0.0251936	0.421688 +/- 0.0256412	0.0237844 +/- 0.00431897	0.0237844 +/- 0.00431897	1 +/- 0	0.495655 +/- 0.0319275	0.49777 +/- 0.0404936	0.50223 +/- 0.0404936
